Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,,
2025-11-03 14:30:00+00:00,270.010009765625,270.010009765625,270.7099914550781,269.4599914550781,270.4200134277344,3180956
2025-11-03 14:31:00+00:00,270.5400085449219,270.5400085449219,270.7099914550781,269.7250061035156,270.0150146484375,175137
2025-11-03 14:32:00+00:00,270.4700012207031,270.4700012207031,270.7200012207031,270.25,270.5190124511719,143182
2025-11-03 14:33:00+00:00,270.19000244140625,270.19000244140625,270.7799987792969,270.1300048828125,270.4800109863281,109085
2025-11-03 14:34:00+00:00,269.25,269.25,270.2300109863281,269.25,270.1600036621094,191929
2025-11-03 14:35:00+00:00,268.97979736328125,268.97979736328125,269.32000732421875,268.6400146484375,269.2601013183594,216701
2025-11-03 14:36:00+00:00,268.7799987792969,268.7799987792969,269.1000061035156,268.481201171875,269.0299987792969,153016
2025-11-03 14:37:00+00:00,267.7544860839844,267.7544860839844,268.7090148925781,267.6400146484375,268.70001220703125,220142
2025-11-03 14:38:00+00:00,267.92999267578125,267.92999267578125,268.15399169921875,267.6199951171875,267.75,161586
2025-11-03 14:39:00+00:00,267.9695129394531,267.9695129394531,268.0498962402344,267.7096862792969,267.9306945800781,135688
2025-11-03 14:40:00+00:00,267.840087890625,267.840087890625,267.94000244140625,267.5299987792969,267.94000244140625,145188
2025-11-03 14:41:00+00:00,267.656494140625,267.656494140625,267.8900146484375,267.54998779296875,267.8599853515625,124129
2025-11-03 14:42:00+00:00,267.30999755859375,267.30999755859375,267.70001220703125,267.25,267.67498779296875,139322
2025-11-03 14:43:00+00:00,267.4200134277344,267.4200134277344,267.59991455078125,267.2301025390625,267.31939697265625,140517
2025-11-03 14:44:00+00:00,267.5050048828125,267.5050048828125,267.6600036621094,267.3599853515625,267.44989013671875,120013
2025-11-03 14:45:00+00:00,267.05999755859375,267.05999755859375,267.4599914550781,266.92999267578125,267.4599914550781,193839
2025-11-03 14:46:00+00:00,266.9460144042969,266.9460144042969,267.0979919433594,266.55999755859375,267.0769958496094,211501
2025-11-03 14:47:00+00:00,266.70001220703125,266.70001220703125,267.04998779296875,266.70001220703125,266.9700012207031,151659
2025-11-03 14:48:00+00:00,266.6300048828125,266.6300048828125,266.81988525390625,266.5299987792969,266.7349853515625,118628
2025-11-03 14:49:00+00:00,266.5799865722656,266.5799865722656,266.7499084472656,266.5,266.6300048828125,113724
2025-11-03 14:50:00+00:00,266.7300109863281,266.7300109863281,266.79779052734375,266.3550109863281,266.57000732421875,160473
2025-11-03 14:51:00+00:00,266.8699951171875,266.8699951171875,266.8699951171875,266.4700012207031,266.68280029296875,112015
2025-11-03 14:52:00+00:00,266.66259765625,266.66259765625,266.9100036621094,266.6499938964844,266.8599853515625,83676
2025-11-03 14:53:00+00:00,266.8349914550781,266.8349914550781,266.95001220703125,266.6499938964844,266.6700134277344,142564
2025-11-03 14:54:00+00:00,267.0950012207031,267.0950012207031,267.1390075683594,266.75,266.8351135253906,131148
2025-11-03 14:55:00+00:00,267.04998779296875,267.04998779296875,267.3699951171875,266.9700012207031,267.1199035644531,124211
2025-11-03 14:56:00+00:00,267.3223876953125,267.3223876953125,267.45001220703125,267.0849914550781,267.0849914550781,120884
2025-11-03 14:57:00+00:00,267.42999267578125,267.42999267578125,267.4800109863281,267.2799987792969,267.2900085449219,89736
2025-11-03 14:58:00+00:00,267.3599853515625,267.3599853515625,267.5199890136719,267.260009765625,267.3909912109375,79687
2025-11-03 14:59:00+00:00,267.2799987792969,267.2799987792969,267.3999938964844,267.1400146484375,267.3497009277344,112165
2025-11-03 15:00:00+00:00,267.3550109863281,267.3550109863281,267.5450134277344,267.04998779296875,267.3699951171875,182233
2025-11-03 15:01:00+00:00,267.29998779296875,267.29998779296875,267.3999938964844,267.0924987792969,267.3900146484375,69608
2025-11-03 15:02:00+00:00,266.760009765625,266.760009765625,267.42999267578125,266.75,267.33990478515625,145398
2025-11-03 15:03:00+00:00,266.94500732421875,266.94500732421875,267.0899963378906,266.7200012207031,266.78009033203125,91498
2025-11-03 15:04:00+00:00,266.7349853515625,266.7349853515625,266.9599914550781,266.62030029296875,266.94000244140625,100108
2025-11-03 15:05:00+00:00,266.5249938964844,266.5249938964844,266.84991455078125,266.3999938964844,266.7099914550781,87603
2025-11-03 15:06:00+00:00,266.4700012207031,266.4700012207031,266.6099853515625,266.40008544921875,266.510009765625,71146
2025-11-03 15:07:00+00:00,266.4200134277344,266.4200134277344,266.54998779296875,266.3900146484375,266.45001220703125,77103
2025-11-03 15:08:00+00:00,266.8945007324219,266.8945007324219,267.0,266.25,266.4200134277344,114933
2025-11-03 15:09:00+00:00,267.2099914550781,267.2099914550781,267.260009765625,266.8919982910156,266.9200134277344,159621
2025-11-03 15:10:00+00:00,267.3299865722656,267.3299865722656,267.3699951171875,267.17999267578125,267.239990234375,102461
2025-11-03 15:11:00+00:00,267.1499938964844,267.1499938964844,267.3301086425781,267.00250244140625,267.3299865722656,86105
2025-11-03 15:12:00+00:00,267.6669921875,267.6669921875,267.70001220703125,267.125,267.135009765625,165611
2025-11-03 15:13:00+00:00,267.8349914550781,267.8349914550781,267.9599914550781,267.67999267578125,267.67999267578125,131313
2025-11-03 15:14:00+00:00,267.7651062011719,267.7651062011719,268.04998779296875,267.5,267.8299865722656,130401
2025-11-03 15:15:00+00:00,267.63079833984375,267.63079833984375,267.8710021972656,267.6099853515625,267.7314147949219,72834
2025-11-03 15:16:00+00:00,267.5199890136719,267.5199890136719,267.7699890136719,267.45001220703125,267.64801025390625,65294
2025-11-03 15:17:00+00:00,267.8450012207031,267.8450012207031,267.875,267.4801940917969,267.5,65533
2025-11-03 15:18:00+00:00,268.0400085449219,268.0400085449219,268.0400085449219,267.8096923828125,267.8699951171875,93566
2025-11-03 15:19:00+00:00,268.3299865722656,268.3299865722656,268.4299011230469,268.0000915527344,268.0163879394531,92164
2025-11-03 15:20:00+00:00,268.4100036621094,268.4100036621094,268.5299987792969,268.23870849609375,268.3299865722656,100102
2025-11-03 15:21:00+00:00,268.5801086425781,268.5801086425781,268.6600036621094,268.30999755859375,268.4049987792969,114452
2025-11-03 15:22:00+00:00,268.36700439453125,268.36700439453125,268.70001220703125,268.36700439453125,268.6000061035156,92819
2025-11-03 15:23:00+00:00,268.6199951171875,268.6199951171875,268.6300048828125,268.32000732421875,268.3550109863281,84655
2025-11-03 15:24:00+00:00,268.31500244140625,268.31500244140625,268.6300048828125,268.2803955078125,268.6199951171875,60717
2025-11-03 15:25:00+00:00,267.889892578125,267.889892578125,268.2900085449219,267.82501220703125,268.2900085449219,77668
2025-11-03 15:26:00+00:00,267.67498779296875,267.67498779296875,267.8299865722656,267.54010009765625,267.82501220703125,89784
2025-11-03 15:27:00+00:00,267.7598876953125,267.7598876953125,267.8800048828125,267.6600036621094,267.67498779296875,71233
2025-11-03 15:28:00+00:00,267.5801086425781,267.5801086425781,267.8399963378906,267.55169677734375,267.7250061035156,61606
2025-11-03 15:29:00+00:00,267.6300048828125,267.6300048828125,267.63861083984375,267.4800109863281,267.6134948730469,63447
2025-11-03 15:30:00+00:00,267.66339111328125,267.66339111328125,267.75,267.510009765625,267.6400146484375,60453
2025-11-03 15:31:00+00:00,267.9949951171875,267.9949951171875,268.0400085449219,267.6499938964844,267.6549987792969,88259
2025-11-03 15:32:00+00:00,268.1698913574219,268.1698913574219,268.2055969238281,267.910888671875,267.9601135253906,76633
